2013-05	Міністрів України, до Верховної Ради України
2013-05	міністр інфраструктури Козак Володимир Васильович
2013-05	міністр Кабінету Міністрів Лукаш
2013-05	міністр Кабінету Міністрів України
2013-05	міністр культури Леонід Михайлович Новохатько
2013-05	міністр культури Новохатько Леонід Михайлович
2013-05	міністр молоді та спорту Равіль Сафович Сафіуллін
2013-05	міністр молоді та спорту Сафіуллін Равіль Сафович
2013-05	міністр оборони Лебедєв Павло Валентинович
2013-05	Міністром фінансів України Анатолія Мярковського
2013-05	міністр освіти і науки Дмитро Володимирович Табачник
2013-05	міністр освіти і науки України Дмитро Володимирович
2013-05	Міністр охорони здоров'я Богатирьова Раїса Василівна
2013-05	міністр соціальної політики Королевська Наталія Юріївна
2013-05	міністр соціальної політики Королевська Наталя Юріївна
2013-05	міністру, Голові Конституційного Суду
2013-05	міністр України Бойко Юрій
2013-05	міністр України Вілкул Олександр
2013-05	міністр України Костянтин Іванович
2013-05	міністр України Микола Янович
2013-05	міністру Миколі Яновичу Азарову
2013-05	міністр юстиції Лавринович Олександр Володимирович
2013-06	міністерства і Кабінету Міністрів України
2013-06	Міністерство оборони Сполучених Штатів Америки
2013-06	міністра аграрної політики Іван Юрійович Бісюк
2013-06	міністра внутрішніх справ Віктор Іванович Ратушняк
2013-06	міністра доходів і зборів Віктор Сергійович Левицький
2013-06	міністра екології Романов Микола Іванович
2013-06	міністра закордонних справ Олефіров Андрій Володимирович
2013-06	Міністра культури України Леоніда Михайловича
2013-06	міністра оборони Можаровський Володимир Миколайович
2013-06	міністра оборони Олійник Олександр Миколайович
2013-06	Міністра соціальної політики Автономної Республіки Крим
2013-06	міністративного суду Автономної Республіки Крим
2013-06	міністративного суду Балаклицького Андрія Івановича
2013-06	міністративного суду Бойка Сергія Сергійовича
2013-06	міністративного суду Воробйову Світлану Олександрівну
2013-06	міністративного суду Граб Людмилу Сергіївну
2013-06	міністративного суду Гудима Любомира Ярославовича
2013-06	міністративного суду Денісова Анатолія Олексійовича
2013-06	міністративного суду Курильця Андрія Романовича
2013-06	міністративного суду Непочатих Василя Олександровича
2013-06	міністративного суду Солоніченко Оксану Вікторівну
2013-06	міністративного суду Старостіна Володимира Вадимовича
2013-06	міністративного суду України Гашицького Олександра
2013-06	міністративного суду Циганія Сергія Ілларіоновича
2013-06	міністративного суду Чабаненко Світлану Володимирівну
2013-06	міністративної як Автономна Республіка Крим
2013-06	міністра України Вілкула Олександра
2013-06	міністра України, глави Адміністрації Президента України
2013-06	міністра України Олександра Вілкула
2013-06	міністра України, Уповноваженого Президента України
2013-06	міністра фінансів Сергія Олександровича Рибака
2013-06	міністра фінансів – Юрія Володимировича Колобова
2013-06	міністрацію Президента, Секретаріат Кабінету Міністрів
2013-06	міністра юстиції Інна Іванівна Ємельянова
2013-06	міністр внутрішніх справ Захарченко Віталій Юрійович
2013-06	міністрів Автономної Республіки Крим
2013-06	Міністрів України та Урядом Королівства Норвегія
2013-06	Міністрів України та Урядом Російської Федерації
2013-06	Міністрів України Юрієм Євтєєвим
2013-06	міністр інфраструктури Козак Володимир Васильович
2013-06	міністр інфраструктури України Володимир Васильович
2013-06	міністр Кабінету Міністрів України
2013-06	міністр Клименко Олександр Вікторович
2013-06	міністр культури Леонід Михайлович Новохатько
2013-06	міністр молоді та спорту Равіль Сафович Сафіуллін
2013-06	міністр освіти і науки Дмитро Володимирович Табачник
2013-06	міністр охорони здоров'я Раїса Василівна Богатирьова
2013-06	міністр соціальної політики Королевська Наталія Юріївна
2013-06	міністр України Костянтин Іванович
2013-06	міністр України Сергій Геннадійович
2013-06	міністр України Юрій Анатолійович
2013-06	міністр фінансів Колобов Юрій Володимирович
2013-06	міністр фінансів України Колобов Юрій
2013-06	міністр юстиції Лавринович Олександр Володимирович
2013-07	міністра Віктора Федоровича Януковича
2013-07	міністра внутрішніх справ Сергій Іванович Лекарь
2013-07	міністра Дроздовій Лідії Миколаївні
2013-07	міністра закордонних справ Кожари Леоніда Олександровича
2013-07	міністра закордонних справ України Леоніда Олександровича
2013-07	міністра оборони Володимира Миколайовича Можаровського
2013-07	міністра освіти і науки Дмитра Володимировича Табачника
2013-07	міністра охорони здоров'я Олександр Костянтинович Толстанов
2013-07	міністра України, глави Адміністрації Президента України
2013-07	міністра України, голови Комітету Верховної Ради
2013-07	міністра України Миколи Яновича
2013-07	міністра фінансів присутній Сергій Олександрович Рибак
2013-07	міністра фінансів України Голови Державного
2013-07	міністра юстиції Інна Іванівна Ємельянова
2013-07	міністр доходів і зборів Олександр Вікторович Клеменко
2013-07	міністр закордонних справ Кожара Леонід Олександрович
2013-07	міністр закордонних справ Леонід Олександрович Кожара
2013-07	Міністрів Автономної Республіки Крим
2013-07	Міністрів на чолі з Миколою Яновичем Азаровим
2013-07	Міністрів України та Урядом Турецької Республіки
2013-07	міністр інфраструктури Володимир Васильович Козак
2013-07	міністр культури Новохатько Леонід Михайлович
2013-07	міністр молоді та спорту Равіль Сафович Сафіуллін
2013-07	міністр оборони Лебедєв Павло Валентинович
2013-07	міністр освіти і науки Табачник Дмитро Володимирович
2013-07	Міністр освіти і науки України Дмитро Володимирович
2013-07	міністр освіти Табачник Дмитро Володимирович
2013-07	Міністр соціальної політики Наталія Юріївна Королевська
2013-07	міністр України Грищенко Костянтин
2013-07	міністр України Микола Янович
2013-07	міністр України Сергій Геннадійович
2013-07	міністр України Юрій Анатолійович
2013-07	Міністр фінансів Юрій Володимирович Колобов
2013-07	міністр юстиції Олена Леонідівна Лукаш
2013-09	Міністерства фінансів, до Мярковського Анатолія Івановича
2013-09	міністра внутрішніх справ Ратушняк Віктор Іванович
2013-09	міністра Ємельянова Інна Іванівна
