Exclude	PersonID	Forename	Patronymic	Surname	Birth	Sex	Country	Occupation	Draft Seen	urlPersonal	urlWiki
1	АндрійЛеонідовичБілоусов.1976	Андрій	Леонідович	Білоусов	1976-12-31	M	UA	заступник міністра регіонального розвитку, будівництва та житлово-комунального господарства	https://www.rada.gov.ua/meeting/stenogr/show/5027.html https://www.rada.gov.ua/meeting/stenogr/show/5027.html https://www.rada.gov.ua/meeting/stenogr/show/5750.html https://www.rada.gov.ua/meeting/stenogr/show/5750.html https://www.rada.gov.ua/meeting/stenogr/show/5750.html	https://www.chesno.org/politician/134705/	https://uk.wikipedia.org/wiki/%D0%91%D1%96%D0%BB%D0%BE%D1%83%D1%81%D0%BE%D0%B2_%D0%90%D0%BD%D0%B4%D1%80%D1%96%D0%B9_%D0%9B%D0%B5%D0%BE%D0%BD%D1%96%D0%B4%D0%BE%D0%B2%D0%B8%D1%87
1	МиколаІвановичБалан.1968	Микола	Іванович	Балан	1968-12-12	M	UA	командувач Національної гвардії України	https://www.rada.gov.ua/meeting/stenogr/show/5773.html https://www.rada.gov.ua/meeting/stenogr/show/7422.html		https://en.wikipedia.org/wiki/Mykola_Balan
1	МиколаЯковичБараш.1955	Микола	Якович	Бараш	1955-07-02	M	UA	виконуючий обов'язки голови Антимонопольного комітету	https://www.rada.gov.ua/meeting/stenogr/show/5648.html https://www.rada.gov.ua/meeting/stenogr/show/5648.html https://www.rada.gov.ua/meeting/stenogr/show/5648.html	http://logos-ukraine.com.ua/project/index.php?project=knteu&id=1674	
1	АллаВалентинівнаБасалаєва.1981	Алла	Валентинівна	Басалаєва	1981-06-04	F	UA	член Центральної виборчої комісії	https://www.rada.gov.ua/meeting/stenogr/show/6919.html	https://cvk.gov.ua/sklad_cvk/basalaieva-alla-valentinivna.html; https://od.dasu.gov.ua/ua/news/750/	https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D1%81%D0%B0%D0%BB%D0%B0%D1%94%D0%B2%D0%B0_%D0%90%D0%BB%D0%BB%D0%B0_%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D1%96%D0%B2%D0%BD%D0%B0
1	ІгорМихайловичБенедисюк.1965	Ігор	Михайлович	Бенедисюк	1965-12-12	M	UA	голова Вищої ради юстиції	https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html https://www.rada.gov.ua/meeting/stenogr/show/6312.html		https://uk.wikipedia.org/wiki/%D0%91%D0%B5%D0%BD%D0%B5%D0%B4%D0%B8%D1%81%D1%8E%D0%BA_%D0%86%D0%B3%D0%BE%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87
1	НаталіяІларіонівнаБернацька.1986	Наталія	Іларіонівна	Бернацька	1986-04-23	F	UA	перший заступник міністра юстиції	https://www.rada.gov.ua/meeting/stenogr/show/6737.html https://www.rada.gov.ua/meeting/stenogr/show/6748.html https://www.rada.gov.ua/meeting/stenogr/show/6903.html https://www.rada.gov.ua/meeting/stenogr/show/6919.html		https://uk.wikipedia.org/wiki/%D0%91%D0%B5%D1%80%D0%BD%D0%B0%D1%86%D1%8C%D0%BA%D0%B0_%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%96%D1%8F_%D0%86%D0%BB%D0%B0%D1%80%D1%96%D0%BE%D0%BD%D1%96%D0%B2%D0%BD%D0%B0
1	РоманМихайловичБогачев.1975	Роман	Михайлович	Богачев	1975-10-22	M	UA	заступник міністра охорони здоров'я	https://www.rada.gov.ua/meeting/stenogr/show/5111.html https://www.rada.gov.ua/meeting/stenogr/show/5111.html		
1	ОльгаБорисівнаБоднар-Петровська.1965	Ольга	Борисівна	Боднар-Петровська	1965-02-19	F	UA	кандидат на посаду судді Конституційного Суду України	https://www.rada.gov.ua/meeting/stenogr/show/7561.html https://www.rada.gov.ua/meeting/stenogr/show/7627.html https://www.rada.gov.ua/meeting/stenogr/show/7627.html https://www.rada.gov.ua/meeting/stenogr/show/7627.html https://www.rada.gov.ua/meeting/stenogr/show/7627.html https://www.rada.gov.ua/meeting/stenogr/show/7627.html		https://en.wikipedia.org/wiki/Olga_Bodnar
1	ВікторІвановичКичун.1968	Віктор	Іванович	Кичун	1968-06-19	M	UA	кандидат на посаду судді Конституційного Суду України	https://www.rada.gov.ua/meeting/stenogr/show/7627.html		https://uk.wikipedia.org/wiki/%D0%9A%D0%B8%D1%87%D1%83%D0%BD_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
1	РусланМихайловичСидорович.1974	Руслан	Михайлович	Сидорович	1974-10-20	M	UA	кандидат на посаду судді Конституційного Суду України	https://www.rada.gov.ua/meeting/stenogr/show/7627.html		https://www.wikiwand.com/uk/%D0%A1%D0%B8%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87_%D0%A0%D1%83%D1%81%D0%BB%D0%B0%D0%BD_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87
1	ЮрійОлексійовичПавленко.1975	Юрій	Олексійович	Павленко	1975-03-20	M	UA	MP ; кандидат на посаду судді Конституційного Суду України	https://www.rada.gov.ua/meeting/stenogr/show/7627.html		
1	МихайлоВасильовичБолотських.1960	Михайло	Васильович	Болотських	1960-10-28	M	UA	голова Державної служби з надзвичайних ситуацій	https://www.rada.gov.ua/meeting/stenogr/show/5022.html https://www.rada.gov.ua/meeting/stenogr/show/5022.html https://www.rada.gov.ua/meeting/stenogr/show/5066.html https://www.rada.gov.ua/meeting/stenogr/show/5066.html https://www.rada.gov.ua/meeting/stenogr/show/5066.html		https://en.wikipedia.org/wiki/Mykhailo_Bolotskykh
1	Інна--ЗлатаЛеонідівназаступник-міністра.1986	Інна ; Злата	Леонідівна	заступник міністра	1986-01-12	F	UA	MP	https://www.rada.gov.ua/meeting/stenogr/show/5736.html https://www.rada.gov.ua/meeting/stenogr/show/5775.html		https://en.wikipedia.org/wiki/Zlata_Ognevich
1	БорисДжонсон.1964	Борис		Джонсон	1964-06-19	M	GB	Prime Minister of the United Kingdom and Leader of the Conservative Party	https://www.rada.gov.ua/meeting/stenogr/show/7995.html		https://en.wikipedia.org/wiki/Boris_Johnson
1	БогданВалентиновичБоруховський	Богдан	Валентинович	Боруховський		M	UA	перший заступник міністра захисту довкілля та природних ресурсів (липень 2020-2021); заступник міністра охорони здоров’я України (грудень 2021 -грудень 2022)	https://www.rada.gov.ua/meeting/stenogr/show/7773.html	https://www.facebook.com/bogdan.borukhovskyi.5/?locale=uk_UA	
1	СергійСтаніславовичБочковський.1966	Сергій	Станіславович	Бочковський	1966-11-20	M	UA	голова Державної служби надзвичайних ситуацій	https://www.rada.gov.ua/meeting/stenogr/show/5690.html https://www.rada.gov.ua/meeting/stenogr/show/5690.html		https://uk.wikipedia.org/wiki/%D0%91%D0%BE%D1%87%D0%BA%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9_%D0%A1%D1%82%D0%B0%D0%BD%D1%96%D1%81%D0%BB%D0%B0%D0%B2%D0%BE%D0%B2%D0%B8%D1%87
1	ІванОлександровичБрацюнь	Іван	Олександрович	Брацюнь		M	UA	голова київського Пласту	https://www.rada.gov.ua/meeting/stenogr/show/7305.html	https://www.facebook.com/bratsiun	
1	ЮрійПетровичБровченко.1968	Юрій	Петрович	Бровченко	1968-05-12	M	UA	заступник міністра економічного розвитку і торгівлі України	https://www.rada.gov.ua/meeting/stenogr/show/6544.html https://www.rada.gov.ua/meeting/stenogr/show/6983.html https://www.rada.gov.ua/meeting/stenogr/show/7169.html		https://uk.wikipedia.org/wiki/%D0%91%D1%80%D0%BE%D0%B2%D1%87%D0%B5%D0%BD%D0%BA%D0%BE_%D0%AE%D1%80%D1%96%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87
1	ІгорМиколайовичБрусило.1905	Ігор	Миколайович	Брусило	1980	M	UA	заступник керівника Офісу Президента України	https://www.rada.gov.ua/meeting/stenogr/show/7904.html		https://en.wikipedia.org/wiki/Ihor_Brusylo
1	БорисЙосиповичВізіров.1980	Борис	Йосипович	Візіров	1980-11-09	M	UA	голова Національної комісії, що здійснює державне регулювання у сфері ринків фінансових послуг	https://www.rada.gov.ua/meeting/stenogr/show/5070.html https://www.rada.gov.ua/meeting/stenogr/show/5070.html https://www.rada.gov.ua/meeting/stenogr/show/5111.html	http://dovidka.com.ua/user/?code=476873	
1	ВікторМихайловичВакараш.1957	Віктор	Михайлович	Вакараш	1957-09-08	M	UA	заступник Міністра екології та природних ресурсів України	https://www.rada.gov.ua/meeting/stenogr/show/6847.html https://www.rada.gov.ua/meeting/stenogr/show/7169.html		https://uk.wikipedia.org/wiki/%D0%92%D0%B0%D0%BA%D0%B0%D1%80%D0%B0%D1%88_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87
1	МихайлоГеоргійовичВербенський.1956	Михайло	Георгійович	Вербенський	1956-01-01	M	UA	член Центральної виборчої комісії	https://www.rada.gov.ua/meeting/stenogr/show/6919.html		https://uk.wikipedia.org/wiki/%D0%92%D0%B5%D1%80%D0%B1%D0%B5%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
1	ІгорГригоровичВеремій.1962	Ігор	Григорович	Веремій	1962-12-27	M	UA	заступник міністра економічного розвитку і торгівлі України	https://www.rada.gov.ua/meeting/stenogr/show/5764.html		https://uk.wikipedia.org/wiki/%D0%92%D0%B5%D1%80%D0%B5%D0%BC%D1%96%D0%B9_%D0%86%D0%B3%D0%BE%D1%80_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87
1	СергійОлексійовичВерланов.1981	Сергій	Олексійович	Верланов	1981-08-06	M	UA	заступник міністра фінансів	https://www.rada.gov.ua/meeting/stenogr/show/6886.html https://www.rada.gov.ua/meeting/stenogr/show/7091.html https://www.rada.gov.ua/meeting/stenogr/show/7317.html		https://en.wikipedia.org/wiki/Serhii_Verlanov
1	СергійМаркіяновичВинокуров.1948	Сергій	Маркіянович	Винокуров	1948-11-18	M	UA	член Вищої ради юстиції	https://www.rada.gov.ua/meeting/stenogr/show/5046.html		https://uk.wikipedia.org/wiki/%D0%92%D0%B8%D0%BD%D0%BE%D0%BA%D1%83%D1%80%D0%BE%D0%B2_%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9_%D0%9C%D0%B0%D1%80%D0%BA%D1%96%D1%8F%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
1	ЯрославВ'ячеславовичВойтович.1973	Ярослав	В'ячеславович	Войтович	1973-12-02	M	UA	заступник міністра молоді та спорту	https://www.rada.gov.ua/meeting/stenogr/show/6478.html https://www.rada.gov.ua/meeting/stenogr/show/6478.html	https://www.facebook.com/yaroslav.voytovich/	
1	НаталіяОлександрівнаВолковицька.1963	Наталія	Олександрівна	Волковицька	1963-07-31	F	UA	член Вищої ради юстиції	https://www.rada.gov.ua/meeting/stenogr/show/5906.html	https://hcj.gov.ua/page/volkovycka-natalya-oleksandrivna&cd=1&hl=uk&ct=clnk&gl=si	
1	ГаннаОлександрівнаВронська.1974	Ганна	Олександрівна	Вронська	1974-08-07	F	UA	заступник міністра екології та природних ресурсів України	https://www.rada.gov.ua/meeting/stenogr/show/5969.html https://www.rada.gov.ua/meeting/stenogr/show/5969.html https://www.rada.gov.ua/meeting/stenogr/show/5969.html https://www.rada.gov.ua/meeting/stenogr/show/5969.html https://www.rada.gov.ua/meeting/stenogr/show/5974.html https://www.rada.gov.ua/meeting/stenogr/show/6004.html https://www.rada.gov.ua/meeting/stenogr/show/6114.html https://www.rada.gov.ua/meeting/stenogr/show/6114.html https://www.rada.gov.ua/meeting/stenogr/show/6149.html		https://uk.wikipedia.org/wiki/%D0%92%D1%80%D0%BE%D0%BD%D1%81%D1%8C%D0%BA%D0%B0_%D0%93%D0%B0%D0%BD%D0%BD%D0%B0_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D1%96%D0%B2%D0%BD%D0%B0
1	ГітанасНаусєда.1964	Гітанас		Наусєда	1964-05-19	M	LT	Президент Литви	https://www.rada.gov.ua/meeting/stenogr/show/7662.html https://www.rada.gov.ua/meeting/stenogr/show/8038.html		https://en.wikipedia.org/wiki/Gitanas_Naus%C4%97da
1	НаталіяМиколаївнаГалібаренко-.1978	Наталія	Миколаївна	Галібаренко 	1978-05-12	F	UA	перший заступник міністра закордонних справ	https://www.rada.gov.ua/meeting/stenogr/show/5830.html https://www.rada.gov.ua/meeting/stenogr/show/5894.html		https://en.wikipedia.org/wiki/Natalia_Galibarenko
1	ІгорМиколайовичГарбарук.1905	Ігор	Миколайович	Гарбарук	1969	M	UA	заступник міністра освіти	https://www.rada.gov.ua/meeting/stenogr/show/7502.html https://www.rada.gov.ua/meeting/stenogr/show/7502.html	https://www.chesno.org/politician/17664/	
1	ОленаАухатівнаГатаулліна.1982	Олена	Аухатівна	Гатаулліна	1982-07-28	F	UA	член Центральної виборчої комісії	https://www.rada.gov.ua/meeting/stenogr/show/7235.html		
1	МихайлоХазреталійовичГашев.1969	Михайло	Хазреталійович	Гашев	1969-09-17	M	UA	перший заступник голови Державної інспекції ядерного регулювання	https://www.rada.gov.ua/meeting/stenogr/show/4955.html	http://logos-ukraine.com.ua/project/index.php?project=piued6&id=2858	
1	ВікторІвановичГвоздь.1959	Віктор	Іванович	Гвоздь	1959-05-24	M	UA	Уповноважений по контролю за діяльністю Служби зовнішньої розвідки України, розвідувального органу Міністерства оборони України та розвідувального органу спеціально уповноваженого центрального органу виконавчої влади у справах охорони державного кордону	https://www.rada.gov.ua/meeting/stenogr/show/5173.html	https://en.wikipedia.org/wiki/Viktor_Hvozd	
1	ЮлійПавловичГере.1982	Юлій	Павлович	Гере	1982-10-12	M	UA	заступник міністра оборони	https://www.rada.gov.ua/meeting/stenogr/show/7680.html		
