checkIDs	PersonID	OrgID	EventID	From	To	Role	Acting	RoleName_en	RoleName_uk
 	МиколаВолодимировичПрисяжнюк.1960	GOV.UA	GOV.UA.2ndAzarov	2012-12-24	2014-02-27	minister		Minister of Agrarian Policy and Food	Міністр аграрної політики та продовольства України
 	МиколаВолодимировичПрисяжнюк.1960	pp.Reg		2006		member			
 	ВіталійЮрійовичЗахарченко.1963	GOV.UA	GOV.UA.2ndAzarov	2012-12-24	2014-02-21	minister		Minister of Internal Affairs	Міністр внутрішніх справ України
 ERR:org	ВіталійЮрійовичЗахарченко.1963	pp.independent							
 	АрсенБорисовичАваков.1964	GOV.UA	GOV.UA.2ndAzarov	2014-02-22	2014-02-27	minister	1	Minister of Internal Affairs	Міністр внутрішніх справ України
 	АрсенБорисовичАваков.1964	GOV.UA	GOV.UA.1stYatseniuk	2014-02-27	2014-11-27	minister		Minister of Internal Affairs	Міністр внутрішніх справ України
 	АрсенБорисовичАваков.1964	GOV.UA	GOV.UA.2stYatseniuk	2014-12-02	2016-04-14	minister		Minister of Internal Affairs	Міністр внутрішніх справ України
 	АрсенБорисовичАваков.1964	GOV.UA	GOV.UA.Hroisman	2016-04-14	2019-08-29	minister		Minister of Internal Affairs	Міністр внутрішніх справ України
 	АрсенБорисовичАваков.1964	GOV.UA	GOV.UA.Honcharuk	2019-08-29	2020-03-04	minister		Minister of Internal Affairs	Міністр внутрішніх справ України
 	АрсенБорисовичАваков.1964	GOV.UA	GOV.UA.Shmyhal	2020-03-04	2021-07-15	minister		Minister of Internal Affairs	Міністр внутрішніх справ України
 	АрсенБорисовичАваков.1964	pp.BUT		2012-10-28	2014-10-26	member			
 	АрсенБорисовичАваков.1964	pp.NF		2014-10-26		nominated			
 	ОлександрВікторовичКлименко.1980	GOV.UA	GOV.UA.2ndAzarov	2012-12-24	2014-02-27	minister		Minister of Revenue and Duties	Міністр доходів і зборів України
 	ОлександрВікторовичКлименко.1980	pp.Reg							
 	ОлегАльбертовичПроскуряков.1968	GOV.UA	GOV.UA.2ndAzarov	2012-12-24	2014-02-27	minister		Minister of Ecology and Natural Resources	Міністр екології та природних ресурсів України
 ERR:org	ОлегАльбертовичПроскуряков.1968	pp.independent							
 	ІгорМиколайовичПрасолов.1962	GOV.UA	GOV.UA.2ndAzarov	2012-12-24	2014-02-27	minister		Minister of Economical Development and Trade	Міністр економічного розвитку і торгівлі України
 	ІгорМиколайовичПрасолов.1962	pp.Reg		2006					
 	ЕдуардАнатолійовичСтавицький.1972	GOV.UA	GOV.UA.2ndAzarov	2012-12-24	2014-02-27	minister		Minister of Power Generation and Coal Mining	Міністр енергетики та вугільної промисловості України
 	ЕдуардАнатолійовичСтавицький.1972	pp.Reg		2006					
 	ЛеонідОлександровичКожара.1963	GOV.UA	GOV.UA.2ndAzarov	2012-12-24	2014-02-23	minister		Minister of Foreign Affairs	Міністр закордонних справ України
 	ЛеонідОлександровичКожара.1963	pp.Reg		2007		member			
 	ЛеонідОлександровичКожара.1963	pp.Reg		2010-09-06	2014-03-29	deputyHead			
 	ВолодимирВасильовичКозак.1959	GOV.UA	GOV.UA.2ndAzarov	2012-12-24	2014-02-27	minister		Minister of Infrastructure	Міністр інфраструктури України
 	ВолодимирВасильовичКозак.1959	pp.Reg		2007		member			
