PersonID	From	To	Forename	Patronymic	Surname	Birth	useID	Source
НаталіяВолодимирівнаАгафонова.1977		2019-01-10	Наталія	Володимирівна	Агафонова	1977-09-19	НаталіяВолодимирівнаАгафонова.1977	
НаталіяВолодимирівнаАгафонова.1977	2019-01-11		Наталія	Володимирівна	Ковальчук	1977-09-19	-	
ЕкатерінаЗгуладзе.1978		2011-04-29	Екатеріна		Згуладзе	1978-06-18	ЕкатерінаЗгуладзе.1978	
ЕкатерінаЗгуладзе.1978	2011-04-30		Екатеріна		Згуладзе-Глуксманн	1978-06-18	-	https://gw.geneanet.org/wikifrat?lang=en&n=zgouladze&oc=0&p=ekaterine
			Інна	Леонідівна	Бордюг		ІннаЛеонідівнаБордюг	
	2010		Злата	Леонідівна	Огнєвіч		-	https://www.youtube.com/@ZlataOgnevich/about
