cnt	orgID	isFraction	term	postID	orgName	postName
1	3029	fraction	9	1029	фракції Політичної Партії "ГОЛОС" у Верховній Раді України дев’ятого скликання	Заступник голови депутатської фракції
18	3029	fraction	9	918	фракції Політичної Партії "ГОЛОС" у Верховній Раді України дев’ятого скликання	Член депутатської фракції
1	3037	unknown	9	917	підкомітету з питань державної молодіжної політики Комітету Верховної Ради України з питань молоді і спорту	Голова підкомітету Комітету Верховної Ради України
1	3038	unknown	9	1033	підкомітету з питань національно-патріотичного виховання Комітету Верховної Ради України з питань молоді і спорту	Заступник голови Комітету, голова підкомітету Комітету Верховної Ради України
1	3039	unknown	9	917	підкомітету з питань фізичної культури та масового спорту Комітету Верховної Ради України з питань молоді і спорту	Голова підкомітету Комітету Верховної Ради України
1	3040	unknown	9	917	підкомітету з питань спорту вищих досягнень та спортивної діяльності Комітету Верховної Ради України з питань молоді і спорту	Голова підкомітету Комітету Верховної Ради України
1	3042	unknown	9	917	підкомітету з питань лісових ресурсів, об’єктів тваринного та рослинного світу, природних ландшафтів та об’єктів природно-заповідного фонду Комітету Верховної Ради України з питань екологічної політики та природокористування	Голова підкомітету Комітету Верховної Ради України
1	3044	unknown	9	917	підкомітету з питань державної політики у сфері поводження з відходами Комітету Верховної Ради України з питань екологічної політики та природокористування	Голова підкомітету Комітету Верховної Ради України
1	3045	unknown	9	917	підкомітету з питань подолання наслідків Чорнобильської катастрофи Комітету Верховної Ради України з питань екологічної політики та природокористування	Голова підкомітету Комітету Верховної Ради України
1	3046	unknown	9	917	підкомітету з питань цивільного захисту населення, попередження та ліквідації наслідків надзвичайних ситуацій техногенного або природного характеру та подолання негативного впливу на довкілля, завданого збройним конфліктом на території Донецької та Луганської областей Комітету Верховної Ради України з питань екологічної політики та природокористування	Голова підкомітету Комітету Верховної Ради України
1	3047	unknown	9	917	підкомітету з питань законодавчого забезпечення реалізації закріпленого в Конституції України стратегічного курсу держави на набуття повноправного членства в ЄС та НАТО Комітету Верховної Ради України з питань зовнішньої політики та міжпарламентського співробітництва	Голова підкомітету Комітету Верховної Ради України
1	3048	unknown	9	917	підкомітету з питань міжпарламентського співробітництва, двосторонніх та багатосторонніх відносин Комітету Верховної Ради України з питань зовнішньої політики та міжпарламентського співробітництва	Голова підкомітету Комітету Верховної Ради України
1	3051	unknown	9	917	підкомітету з питань зовнішньоекономічних зв’язків та ефективного використання міжнародної допомоги Комітету Верховної Ради України з питань зовнішньої політики та міжпарламентського співробітництва	Голова підкомітету Комітету Верховної Ради України
1	3052	unknown	9	917	підкомітету з питань зв’язків і захисту прав та інтересів українців за кордоном Комітету Верховної Ради України з питань зовнішньої політики та міжпарламентського співробітництва	Голова підкомітету Комітету Верховної Ради України
1	3053	unknown	9	1033	підкомітету з питань дотримання Україною міжнародних зобов’язань у сфері захисту прав людини та гендерної політики Комітету Верховної Ради України з питань зовнішньої політики та міжпарламентського співробітництва	Заступник голови Комітету, голова підкомітету Комітету Верховної Ради України
1	3054	unknown	9	1034	підкомітету з питань глобальних ризиків та викликів Комітету Верховної Ради України з питань зовнішньої політики та міжпарламентського співробітництва	Перший заступник голови Комітету, голова підкомітету Комітету Верховної Ради України
1	3055	unknown	9	917	підкомітету з питань бюджетної політики та удосконалення положень Бюджетного кодексу України Комітету Верховної Ради України з питань бюджету	Голова підкомітету Комітету Верховної Ради України
1	3057	unknown	9	917	підкомітету з питань доходів і фінансування державного бюджету та державного боргу Комітету Верховної Ради України з питань бюджету	Голова підкомітету Комітету Верховної Ради України
1	3058	unknown	9	917	підкомітету з питань видатків державного бюджету Комітету Верховної Ради України з питань бюджету	Голова підкомітету Комітету Верховної Ради України
1	3059	unknown	9	917	підкомітету з питань державних інвестиційних проектів Комітету Верховної Ради України з питань бюджету	Голова підкомітету Комітету Верховної Ради України
1	3060	unknown	9	917	підкомітету з питань місцевих бюджетів та бюджетної підтримки регіонального розвитку Комітету Верховної Ради України з питань бюджету	Голова підкомітету Комітету Верховної Ради України
1	3061	unknown	9	917	підкомітету з питань державного фінансового контролю та діяльності Рахункової палати Комітету Верховної Ради України з питань бюджету	Голова підкомітету Комітету Верховної Ради України
1	3062	unknown	9	917	підкомітету з питань оцінки законопроектів щодо впливу на показники бюджету та відповідності бюджетному законодавству Комітету Верховної Ради України з питань бюджету	Голова підкомітету Комітету Верховної Ради України
1	3063	unknown	9	917	підкомітету з питань сучасних інформаційних технологій та інновацій у бюджетному процесі Комітету Верховної Ради України з питань бюджету	Голова підкомітету Комітету Верховної Ради України
1	3064	unknown	9	917	підкомітету з питань діяльності органів прокуратури Комітету Верховної Ради України з питань правоохоронної діяльності	Голова підкомітету Комітету Верховної Ради України
1	3065	unknown	9	917	підкомітету з питань діяльності органів правопорядку Комітету Верховної Ради України з питань правоохоронної діяльності	Голова підкомітету Комітету Верховної Ради України
1	3066	unknown	9	917	підкомітету з питань організації охорони громадської безпеки і порядку  Комітету Верховної Ради України з питань правоохоронної діяльності	Голова підкомітету Комітету Верховної Ради України
1	3068	unknown	9	917	підкомітету з питань кримінального процесуального законодавства та оперативно-розшукової діяльності Комітету Верховної Ради України з питань правоохоронної діяльності	Голова підкомітету Комітету Верховної Ради України
1	3070	unknown	9	917	підкомітету з питань законодавчого забезпечення і контролю за діяльністю дипломатичної служби Комітету Верховної Ради України з питань зовнішньої політики та міжпарламентського співробітництва	Голова підкомітету Комітету Верховної Ради України
1	3071	unknown	9	1033	підкомітету запровадження цінностей і стандартів НАТО, міжнародного військового співробітництва та миротворчості Комітету Верховної Ради України з питань національної безпеки, оборони та розвідки	Заступник голови Комітету, голова підкомітету Комітету Верховної Ради України
1	3072	unknown	9	917	підкомітету з державної безпеки та оборони Комітету Верховної Ради України з питань національної безпеки, оборони та розвідки	Голова підкомітету Комітету Верховної Ради України
1	3073	unknown	9	917	підкомітету з питань оборонної промисловості та технічної модернізації Комітету Верховної Ради України з питань національної безпеки, оборони та розвідки	Голова підкомітету Комітету Верховної Ради України
1	3074	unknown	9	917	підкомітету з  питань нагляду за діяльністю державних органів спеціального призначення з правоохоронними функціями, правоохоронних органів, правоохоронних органів спеціального призначення та розвідувальних органів Комітету Верховної Ради України з питань національної безпеки, оборони та розвідки	Голова підкомітету Комітету Верховної Ради України
1	3075	unknown	9	917	підкомітету по соціальним питанням у сферах національної безпеки і оборони Комітету Верховної Ради України з питань національної безпеки, оборони та розвідки	Голова підкомітету Комітету Верховної Ради України
1	3076	unknown	9	917	підкомітету з питань раннього розвитку та дошкільної освіти Комітету Верховної Ради України з питань освіти, науки та інновацій	Голова підкомітету Комітету Верховної Ради України
1	3077	unknown	9	917	підкомітету з питань загальної середньої, інклюзивної освіти та освіти на тимчасово окупованих територіях Комітету Верховної Ради України з питань освіти, науки та інновацій	Голова підкомітету Комітету Верховної Ради України
1	3078	unknown	9	917	підкомітету з питань професійно-технічної та фахової передвищої освіти Комітету Верховної Ради України з питань освіти, науки та інновацій	Голова підкомітету Комітету Верховної Ради України
1	3079	unknown	9	917	підкомітету з питань вищої освіти Комітету Верховної Ради України з питань освіти, науки та інновацій	Голова підкомітету Комітету Верховної Ради України
1	3080	unknown	9	917	підкомітету з питань науки та інновацій Комітету Верховної Ради України з питань освіти, науки та інновацій	Голова підкомітету Комітету Верховної Ради України
1	3081	unknown	9	917	підкомітету з питань освіти впродовж життя та позашкільної освіти Комітету Верховної Ради України з питань освіти, науки та інновацій	Голова підкомітету Комітету Верховної Ради України
1	3082	unknown	9	917	підкомітету з питань медичного страхування Комітету Верховної Ради України з питань здоров’я нації, медичної допомоги та медичного страхування	Голова підкомітету Комітету Верховної Ради України
1	3083	unknown	9	917	підкомітету з питань охорони здоров’я Комітету Верховної Ради України з питань здоров’я нації, медичної допомоги та медичного страхування	Голова підкомітету Комітету Верховної Ради України
1	3084	unknown	9	917	підкомітету з питань фармації та фармацевтичної діяльності Комітету Верховної Ради України з питань здоров’я нації, медичної допомоги та медичного страхування	Голова підкомітету Комітету Верховної Ради України
1	3085	unknown	9	917	підкомітету з питань забезпечення епідемічної безпеки, боротьби із ВІЛ/СНІД та соціально небезпечними захворюваннями Комітету Верховної Ради України з питань здоров’я нації, медичної допомоги та медичного страхування	Голова підкомітету Комітету Верховної Ради України
1	3086	unknown	9	1033	підкомітету з питань сучасних медичних технологій та розвитку трансплантології Комітету Верховної Ради України з питань здоров’я нації, медичної допомоги та медичного страхування	Заступник голови Комітету, голова підкомітету Комітету Верховної Ради України
1	3087	unknown	9	917	підкомітету з питань медичної техніки та медичного транспорту Комітету Верховної Ради України з питань здоров’я нації, медичної допомоги та медичного страхування	Голова підкомітету Комітету Верховної Ради України
1	3088	unknown	9	1033	підкомітету з питань оздоровлення та охорони материнства і дитинства Комітету Верховної Ради України з питань здоров’я нації, медичної допомоги та медичного страхування	Заступник голови Комітету, голова підкомітету Комітету Верховної Ради України
1	3089	unknown	9	1041	підкомітету з питань військової медицини Комітету Верховної Ради України з питань здоров’я нації, медичної допомоги та медичного страхування	Секретар Комітету, голова підкомітету Комітету Верховної Ради України
1	3090	unknown	9	1034	підкомітету з питань технічного регулювання та стандартизації у сфері охорони здоров’я Комітету Верховної Ради України з питань здоров’я нації, медичної допомоги та медичного страхування	Перший заступник голови Комітету, голова підкомітету Комітету Верховної Ради України
1	3091	unknown	9	917	підкомітету з питань законодавства про статус народного депутата України Комітету Верховної Ради України з питань Регламенту, депутатської етики та організації роботи Верховної Ради України	Голова підкомітету Комітету Верховної Ради України
1	3092	unknown	9	917	підкомітету з питань Регламенту Верховної Ради України Комітету Верховної Ради України з питань Регламенту, депутатської етики та організації роботи Верховної Ради України	Голова підкомітету Комітету Верховної Ради України
1	3093	unknown	9	917	підкомітету з питань депутатської етики Комітету Верховної Ради України з питань Регламенту, депутатської етики та організації роботи Верховної Ради України	Голова підкомітету Комітету Верховної Ради України
1	3094	unknown	9	917	підкомітету з питань організації роботи Верховної Ради України Комітету Верховної Ради України з питань Регламенту, депутатської етики та організації роботи Верховної Ради України	Голова підкомітету Комітету Верховної Ради України
1	3095	unknown	9	917	підкомітету з питань забезпечення діяльності народних депутатів України Комітету Верховної Ради України з питань Регламенту, депутатської етики та організації роботи Верховної Ради України	Голова підкомітету Комітету Верховної Ради України
1	3096	unknown	9	917	підкомітету з питань забезпечення діяльності Верховної Ради України Комітету Верховної Ради України з питань Регламенту, депутатської етики та організації роботи Верховної Ради України	Голова підкомітету Комітету Верховної Ради України
1	3098	unknown	9	917	підкомітету з питань автомобільного транспорту Комітету Верховної Ради України з питань транспорту та інфраструктури	Голова підкомітету Комітету Верховної Ради України
1	3099	unknown	9	917	підкомітету з питань морського транспорту Комітету Верховної Ради України з питань транспорту та інфраструктури	Голова підкомітету Комітету Верховної Ради України
1	3100	unknown	9	917	підкомітету з питань річкового транспорту Комітету Верховної Ради України з питань транспорту та інфраструктури	Голова підкомітету Комітету Верховної Ради України
1	3101	unknown	9	917	підкомітету з питань авіаційного транспорту Комітету Верховної Ради України з питань транспорту та інфраструктури	Голова підкомітету Комітету Верховної Ради України
1	3102	unknown	9	917	підкомітету з питань автомобільних доріг та дорожнього господарства Комітету Верховної Ради України з питань транспорту та інфраструктури	Голова підкомітету Комітету Верховної Ради України
1	3103	unknown	9	917	підкомітету з питань безпеки дорожнього руху та безпеки на транспорті Комітету Верховної Ради України з питань транспорту та інфраструктури	Голова підкомітету Комітету Верховної Ради України
1	3104	unknown	9	917	підкомітету з питань трубопровідного транспорту Комітету Верховної Ради України з питань транспорту та інфраструктури	Голова підкомітету Комітету Верховної Ради України
1	3105	unknown	9	917	підкомітету з питань поштового зв’язку Комітету Верховної Ради України з питань транспорту та інфраструктури	Голова підкомітету Комітету Верховної Ради України
1	3106	unknown	9	917	підкомітету з питань права громадян на інформацію Комітету Верховної Ради України з питань свободи слова	Голова підкомітету Комітету Верховної Ради України
1	3107	unknown	9	1041	підкомітету з питань захисту прав та свобод журналістів і працівників засобів масової інформації Комітету Верховної Ради України з питань свободи слова	Секретар Комітету, голова підкомітету Комітету Верховної Ради України
1	3108	unknown	9	917	підкомітету з питань прав людини Комітету Верховної Ради України з питань прав людини, деокупації та реінтеграції тимчасово окупованих територій у Донецькій, Луганській областях та Автономної Республіки Крим, міста Севастополя, національних меншин і міжнаціональних відносин	Голова підкомітету Комітету Верховної Ради України
1	3109	unknown	9	917	підкомітету з питань етнополітики, прав корінних народів та національних меншин України Комітету Верховної Ради України з питань прав людини, деокупації та реінтеграції тимчасово окупованих територій у Донецькій, Луганській областях та Автономної Республіки Крим, міста Севастополя, національних меншин і міжнаціональних відносин	Голова підкомітету Комітету Верховної Ради України
1	3110	unknown	9	917	підкомітету з питань міграційної політики та громадянства Комітету Верховної Ради України з питань прав людини, деокупації та реінтеграції тимчасово окупованих територій у Донецькій, Луганській областях та Автономної Республіки Крим, міста Севастополя, національних меншин і міжнаціональних відносин	Голова підкомітету Комітету Верховної Ради України
1	3111	unknown	9	1033	підкомітету з питань гендерної рівності і недискримінації Комітету Верховної Ради України з питань прав людини, деокупації та реінтеграції тимчасово окупованих територій у Донецькій, Луганській областях та Автономної Республіки Крим, міста Севастополя, національних меншин і міжнаціональних відносин	Заступник голови Комітету, голова підкомітету Комітету Верховної Ради України
