cnt	orgID	isFraction	term	postID	orgName	postName
1	3014	unknown	9	7	Комітету Верховної Ради України з питань організації державної влади, місцевого самоврядування, регіонального розвитку та містобудування	Секретар Комітету Верховної Ради України
8	3014	unknown	9	8	Комітету Верховної Ради України з питань організації державної влади, місцевого самоврядування, регіонального розвитку та містобудування	Член Комітету Верховної Ради України
1	3014	unknown	9	916	Комітету Верховної Ради України з питань організації державної влади, місцевого самоврядування, регіонального розвитку та містобудування	Перший заступник голови Комітету Верховної Ради України
1	3015	unknown	9	4	Комітету Верховної Ради України з питань освіти, науки та інновацій	Голова Комітету Верховної Ради України
1	3015	unknown	9	5	Комітету Верховної Ради України з питань освіти, науки та інновацій	Заступник голови Комітету Верховної Ради України
1	3015	unknown	9	7	Комітету Верховної Ради України з питань освіти, науки та інновацій	Секретар Комітету Верховної Ради України
2	3015	unknown	9	8	Комітету Верховної Ради України з питань освіти, науки та інновацій	Член Комітету Верховної Ради України
1	3015	unknown	9	916	Комітету Верховної Ради України з питань освіти, науки та інновацій	Перший заступник голови Комітету Верховної Ради України
1	3016	unknown	9	4	Комітету Верховної Ради України з питань прав людини, деокупації та реінтеграції тимчасово окупованих територій у Донецькій, Луганській областях та Автономної Республіки Крим, міста Севастополя, національних меншин і міжнаціональних відносин	Голова Комітету Верховної Ради України
1	3016	unknown	9	5	Комітету Верховної Ради України з питань прав людини, деокупації та реінтеграції тимчасово окупованих територій у Донецькій, Луганській областях та Автономної Республіки Крим, міста Севастополя, національних меншин і міжнаціональних відносин	Заступник голови Комітету Верховної Ради України
1	3016	unknown	9	7	Комітету Верховної Ради України з питань прав людини, деокупації та реінтеграції тимчасово окупованих територій у Донецькій, Луганській областях та Автономної Республіки Крим, міста Севастополя, національних меншин і міжнаціональних відносин	Секретар Комітету Верховної Ради України
5	3016	unknown	9	8	Комітету Верховної Ради України з питань прав людини, деокупації та реінтеграції тимчасово окупованих територій у Донецькій, Луганській областях та Автономної Республіки Крим, міста Севастополя, національних меншин і міжнаціональних відносин	Член Комітету Верховної Ради України
