ParlaMint-UA_2013-02-22-m0.u2	МИРНИЙ І.М.	#ІванМиколайовичМирний.1954	ParlaMint-UA_2013-02-22-m0.u1.p15.s1.w18 ParlaMint-UA_2013-02-22-m0.u1.p15.s1.w16	Миколайович Мирний	0
ParlaMint-UA_2013-02-22-m0.u2	МИРНИЙ І.М.	#ІванМиколайовичМирний.1954	ParlaMint-UA_2013-02-22-m0.u1.p15.s3.w12 ParlaMint-UA_2013-02-22-m0.u1.p15.s3.w13 ParlaMint-UA_2013-02-22-m0.u1.p15.s3.w14	Іван Миколайович Мирний	1
ParlaMint-UA_2014-02-04-m0.u2	ЄФРЕМОВ О.С.	#ОлександрСергійовичЄфремов.1954	ParlaMint-UA_2014-02-04-m0.u1.p6.s3.w7 ParlaMint-UA_2014-02-04-m0.u1.p6.s3.w8 ParlaMint-UA_2014-02-04-m0.u1.p6.s3.w9	Олександр Сергійович Єфремов	1
ParlaMint-UA_2014-02-04-m0.u4	КЛИЧКО В.В.	#ВіталійВолодимировичКличко.1971	ParlaMint-UA_2014-02-04-m0.u3.p1.s2.w4 ParlaMint-UA_2014-02-04-m0.u3.p1.s2.w5	Віталій Кличко	0
ParlaMint-UA_2014-02-04-m0.u4	КЛИЧКО В.В.	#ВіталійВолодимировичКличко.1971	ParlaMint-UA_2014-02-04-m0.u3.p1.s2.w4 ParlaMint-UA_2014-02-04-m0.u3.p1.s2.w5	Віталій Кличко	0
ParlaMint-UA_2014-02-04-m0.u6	ТЯГНИБОК О.Я.	#ОлегЯрославовичТягнибок.1968	ParlaMint-UA_2014-02-04-m0.u5.p1.s1.w8 ParlaMint-UA_2014-02-04-m0.u5.p1.s1.w9	Олег Тягнибок	0
ParlaMint-UA_2014-02-04-m0.u10	СОБОЛЄВ С.В.	#СергійВладиславовичСоболєв.1961	ParlaMint-UA_2014-02-04-m0.u9.p1.s4.w3 ParlaMint-UA_2014-02-04-m0.u9.p1.s4.w4	Сергій Соболєв	0
ParlaMint-UA_2014-02-04-m0.u12	СИМОНЕНКО П.М.	#ПетроМиколайовичСимоненко.1952	ParlaMint-UA_2014-02-04-m0.u11.p1.s2.w8 ParlaMint-UA_2014-02-04-m0.u11.p1.s2.w9	Петро Симоненко	0
ParlaMint-UA_2014-02-04-m0.u16	ЛИТВИН В.М.	#ВолодимирМихайловичЛитвин.1956	ParlaMint-UA_2014-02-04-m0.u15.p1.s1.w4 ParlaMint-UA_2014-02-04-m0.u15.p1.s1.w5 ParlaMint-UA_2014-02-04-m0.u15.p1.s1.w6	Володимир Михайлович Литвин	1
ParlaMint-UA_2014-02-04-m0.u20	БАБИЧ В.В.	БАБИЧ В.В.	ParlaMint-UA_2014-02-04-m0.u19.p3.s1.w6	Бабич	0
ParlaMint-UA_2014-02-04-m0.u22	КІЛІНКАРОВ С.П.	#СпірідонПавловичКілінкаров.1968	ParlaMint-UA_2014-02-04-m0.u21.p1.s1.w5	Кілінкаров	0
ParlaMint-UA_2014-02-04-m0.u24	БЄЛЬКОВА О.В.	#ОльгаВалентинівнаБєлькова.1975	ParlaMint-UA_2014-02-04-m0.u23.p1.s1.w10	Бєлькова	0
ParlaMint-UA_2014-02-04-m0.u26	ГЕРАЩЕНКО І.В.	#ІринаВолодимирівнаГеращенко.1971	ParlaMint-UA_2014-02-04-m0.u25.p1.s1.w3	Геращенко	0
ParlaMint-UA_2014-02-04-m0.u30	РУДЬКОВСЬКИЙ М.М.	#МиколаМиколайовичРудьковський.1967	ParlaMint-UA_2014-02-04-m0.u29.p1.s1.w6 ParlaMint-UA_2014-02-04-m0.u29.p1.s1.w7	Микола Рудьковський	0
ParlaMint-UA_2014-02-04-m0.u30	РУДЬКОВСЬКИЙ М.М.	#МиколаМиколайовичРудьковський.1967	ParlaMint-UA_2014-02-04-m0.u29.p1.s1.w6 ParlaMint-UA_2014-02-04-m0.u29.p1.s1.w7	Микола Рудьковський	0
ParlaMint-UA_2014-02-04-m0.u32	КНЯЖИЦЬКИЙ М.Л.	#МиколаЛеонідовичКняжицький.1968	ParlaMint-UA_2014-02-04-m0.u31.p2.s1.w8	Княжицький	0
ParlaMint-UA_2014-02-04-m0.u34	СИЧ О.М.	#ОлександрМаксимовичСич.1964	ParlaMint-UA_2014-02-04-m0.u33.p2.s2.w1 ParlaMint-UA_2014-02-04-m0.u33.p2.s2.w2	Олександр Сич	0
ParlaMint-UA_2014-02-04-m0.u36	ШЕВЧЕНКО А.В.	#АндрійВіталійовичШевченко.1976	ParlaMint-UA_2014-02-04-m0.u35.p2.s1.w3 ParlaMint-UA_2014-02-04-m0.u35.p2.s1.w4	Андрій Шевченко	0
ParlaMint-UA_2014-02-04-m0.u40	МИРНИЙ О.Б.	#ОлександрБорисовичМирний.1961	ParlaMint-UA_2014-02-04-m0.u39.p2.s1.w8 ParlaMint-UA_2014-02-04-m0.u39.p2.s1.w9	Олександр Мирний	0
ParlaMint-UA_2014-02-04-m0.u42	МИХАЛЬЧИШИН Ю.А.	#ЮрійАдріяновичМихальчишин.1982	ParlaMint-UA_2014-02-04-m0.u41.p1.s1.w8 ParlaMint-UA_2014-02-04-m0.u41.p1.s1.w9	Юрій Михальчишин	0
ParlaMint-UA_2014-02-04-m0.u44	КАТЕРИНЧУК М.Д.	#МиколаДмитровичКатеринчук.1967	ParlaMint-UA_2014-02-04-m0.u43.p1.s1.w8 ParlaMint-UA_2014-02-04-m0.u43.p1.s1.w9	Микола Катеринчук	0
ParlaMint-UA_2014-02-04-m0.u48	ПИНЗЕНИК В.М.	#ВікторМихайловичПинзеник.1954	ParlaMint-UA_2014-02-04-m0.u47.p12.s2.w5	Пинзеник	0
ParlaMint-UA_2014-02-04-m0.u54	ТЯГНИБОК О.Я.	#ОлегЯрославовичТягнибок.1968	ParlaMint-UA_2014-02-04-m0.u53.p2.s2.w1 ParlaMint-UA_2014-02-04-m0.u53.p2.s2.w2	Олег Тягнибок	0
ParlaMint-UA_2014-02-04-m0.u60	ТУРЧИНОВ О.В.	#ОлександрВалентиновичТурчинов.1964	ParlaMint-UA_2014-02-04-m0.u59.p2.s1.w8	Турчинов	0
ParlaMint-UA_2014-02-04-m0.u64	ЄФРЕМОВ О.С.	#ОлександрСергійовичЄфремов.1954	ParlaMint-UA_2014-02-04-m0.u63.p1.s5.w8 ParlaMint-UA_2014-02-04-m0.u63.p1.s5.w9 ParlaMint-UA_2014-02-04-m0.u63.p1.s5.w10	Олександр Сергійович Єфремов	1
ParlaMint-UA_2014-02-04-m0.u66	ЛЯШКО О.В.	#ОлегВалерійовичЛяшко.1972	ParlaMint-UA_2014-02-04-m0.u65.p2.s1.w5 ParlaMint-UA_2014-02-04-m0.u65.p2.s1.w6	Олег Ляшко	0
ParlaMint-UA_2014-02-04-m1.u4	ТЯГНИБОК О.Я.	#ОлегЯрославовичТягнибок.1968	ParlaMint-UA_2014-02-04-m1.u3.p1.s1.w9 ParlaMint-UA_2014-02-04-m1.u3.p1.s1.w10 ParlaMint-UA_2014-02-04-m1.u3.p1.s1.w11	Олег Ярославович Тягнибок	1
ParlaMint-UA_2014-02-04-m1.u6	ЯЦЕНЮК А.П.	#АрсенійПетровичЯценюк.1974	ParlaMint-UA_2014-02-04-m1.u5.p1.s1.w9 ParlaMint-UA_2014-02-04-m1.u5.p1.s1.w10 ParlaMint-UA_2014-02-04-m1.u5.p1.s1.w11	Арсеній Петрович Яценюк	1
ParlaMint-UA_2014-02-04-m1.u14	ЄФРЕМОВ О.С.	#ОлександрСергійовичЄфремов.1954	ParlaMint-UA_2014-02-04-m1.u13.p1.s1.w6 ParlaMint-UA_2014-02-04-m1.u13.p1.s1.w7 ParlaMint-UA_2014-02-04-m1.u13.p1.s1.w8	Олександр Сергійович Єфремов	1
ParlaMint-UA_2014-02-04-m1.u16	СИМОНЕНКО П.М.	#ПетроМиколайовичСимоненко.1952	ParlaMint-UA_2014-02-04-m1.u15.p1.s1.w6 ParlaMint-UA_2014-02-04-m1.u15.p1.s1.w7 ParlaMint-UA_2014-02-04-m1.u15.p1.s1.w8	Петро Миколайович Симоненко	1
ParlaMint-UA_2014-02-04-m1.u18	ЛИТВИН В.М.	#ВолодимирМихайловичЛитвин.1956	ParlaMint-UA_2014-02-04-m1.u17.p2.s1.w1 ParlaMint-UA_2014-02-04-m1.u17.p2.s1.w2 ParlaMint-UA_2014-02-04-m1.u17.p2.s1.w3	Володимир Михайлович Литвин	1
ParlaMint-UA_2014-02-04-m1.u20	ЛЯШКО О.В.	#ОлегВалерійовичЛяшко.1972	ParlaMint-UA_2014-02-04-m1.u19.p1.s2.w3	Ляшко	0
ParlaMint-UA_2014-02-04-m1.u26	ГРУШЕВСЬКИЙ В.А.	#ВіталійАнатолійовичГрушевський.1971	ParlaMint-UA_2014-02-04-m1.u25.p2.s3.w2	Грушевський	0
