utterance	note	who	sentence
ParlaMint-UA_2014-02-04-m1.u16	СИМОНЕНКО П.М.	#ПетроМиколайовичСимоненко.1952	Фракція Комуністичної партії України, [Петро](ParlaMint-UA_2014-02-04-m1.u15.p1.s1.w6) [Миколайович](ParlaMint-UA_2014-02-04-m1.u15.p1.s1.w7) [Симоненко](ParlaMint-UA_2014-02-04-m1.u15.p1.s1.w8). 
ParlaMint-UA_2014-02-04-m1.u18	ЛИТВИН В.М.	#ВолодимирМихайловичЛитвин.1956	[Володимир](ParlaMint-UA_2014-02-04-m1.u17.p2.s1.w1) [Михайлович](ParlaMint-UA_2014-02-04-m1.u17.p2.s1.w2) [Литвин](ParlaMint-UA_2014-02-04-m1.u17.p2.s1.w3). 
ParlaMint-UA_2014-02-04-m1.u20	ЛЯШКО О.В.	#ОлегВалерійовичЛяшко.1972	Народний депутат [Ляшко](ParlaMint-UA_2014-02-04-m1.u19.p1.s2.w3). 
ParlaMint-UA_2014-02-04-m1.u26	ГРУШЕВСЬКИЙ В.А.	#ВіталійАнатолійовичГрушевський.1971	Є [Грушевський](ParlaMint-UA_2014-02-04-m1.u25.p2.s3.w2)? 
ParlaMint-UA_2014-02-04-m1.u26	ГРУШЕВСЬКИЙ В.А.	#ВіталійАнатолійовичГрушевський.1971	Прошу, [Грушевський](ParlaMint-UA_2014-02-04-m1.u25.p2.s4.w3) [Віталій](ParlaMint-UA_2014-02-04-m1.u25.p2.s4.w4) [Анатолійович](ParlaMint-UA_2014-02-04-m1.u25.p2.s4.w5), чоловік з Майдану. 
ParlaMint-UA_2014-02-05-m0.u2	ПИНЗЕНИК В.М.	#ВікторМихайловичПинзеник.1954	Виступає [Віктор](ParlaMint-UA_2014-02-05-m0.u1.p6.s2.w2) [Пинзеник](ParlaMint-UA_2014-02-05-m0.u1.p6.s2.w3). 
ParlaMint-UA_2014-02-05-m0.u12	КУНЧЕНКО О.П.	#ОлексійПетровичКунченко.1952	Партія регіонів, народний депутат [Кунченко](ParlaMint-UA_2014-02-05-m0.u11.p1.s1.w6). 
ParlaMint-UA_2014-02-05-m0.u14	ШУФРИЧ Н.І.	#НесторІвановичШуфрич.1966	Прошу, народний депутат [Нестор](ParlaMint-UA_2014-02-05-m0.u13.p1.s1.w5) [Шуфрич](ParlaMint-UA_2014-02-05-m0.u13.p1.s1.w6) 
ParlaMint-UA_2014-02-05-m0.u16	ТКАЧУК Г.В.	#ГеннадійВіталійовичТкачук.1968	Фракція "УДАР Віталія Кличка", народний депутат [Ткачук](ParlaMint-UA_2014-02-05-m0.u15.p1.s1.w10). 
ParlaMint-UA_2014-02-05-m0.u18	ГЕРАЩЕНКО І.В.	#ІринаВолодимирівнаГеращенко.1971	Прошу, народний депутат [Ірина](ParlaMint-UA_2014-02-05-m0.u17.p1.s1.w5) [Геращенко](ParlaMint-UA_2014-02-05-m0.u17.p1.s1.w6). 
ParlaMint-UA_2014-02-05-m0.u20	ЦИБЕНКО П.С.	#ПетроСтепановичЦибенко.1949	[Петро](ParlaMint-UA_2014-02-05-m0.u19.p3.s3.w1) [Цибенко](ParlaMint-UA_2014-02-05-m0.u19.p3.s3.w2) виступає. 
ParlaMint-UA_2014-02-05-m0.u22	ПОНОМАРЬОВ А.В.	#АндрійВікторовичПономарьов.1961	Фракція Партії регіонів, народний депутат [Пономарьов](ParlaMint-UA_2014-02-05-m0.u21.p1.s1.w7). 
ParlaMint-UA_2014-02-05-m0.u24	КОЛЕСНІЧЕНКО В.В.	#ВадимВасильовичКолесніченко.1958	Прошу, народний депутат [Вадим](ParlaMint-UA_2014-02-05-m0.u23.p1.s1.w5) [Колесніченко](ParlaMint-UA_2014-02-05-m0.u23.p1.s1.w6). 
ParlaMint-UA_2014-02-05-m0.u24	КОЛЕСНІЧЕНКО В.В.	#ВадимВасильовичКолесніченко.1958	Прошу, народний депутат [Вадим](ParlaMint-UA_2014-02-05-m0.u23.p1.s1.w5) [Колесніченко](ParlaMint-UA_2014-02-05-m0.u23.p1.s1.w6). 
ParlaMint-UA_2014-02-05-m0.u26	КОВАЧ В.І.	#ВасильІллічКовач.1956	Фракція Партії регіонів, народний депутат [Ковач](ParlaMint-UA_2014-02-05-m0.u25.p1.s1.w7). 
ParlaMint-UA_2014-02-05-m0.u28	ЧЕЧЕТОВ М.В.	#МихайлоВасильовичЧечетов.1953	Прошу, народний депутат [Михайло](ParlaMint-UA_2014-02-05-m0.u27.p1.s1.w5) [Чечетов](ParlaMint-UA_2014-02-05-m0.u27.p1.s1.w6). 
ParlaMint-UA_2014-02-05-m0.u30	ЗУБИК В.В.	#ВолодимирВолодимировичЗубик.1958	Фракція Партії регіонів народний депутат [Зубик](ParlaMint-UA_2014-02-05-m0.u29.p1.s1.w6). 
ParlaMint-UA_2014-02-05-m0.u32	САЛЬДО В.В.	#ВолодимирВасильовичСальдо.1956	Прошу, народний депутат [Володимир](ParlaMint-UA_2014-02-05-m0.u31.p1.s1.w5) [Сальдо](ParlaMint-UA_2014-02-05-m0.u31.p1.s1.w6). 
