utterance	note	who	sentence
ParlaMint-UA_2017-02-07-m0.u15	БОНДАР В.В.	#ВікторВасильовичБондар.1975	Від "Партії "Відродження" [Бондар](ParlaMint-UA_2017-02-07-m0.u14.p2.s1.w7) Віктор [Васильович](ParlaMint-UA_2017-02-07-m0.u14.p2.s1.w9). 
ParlaMint-UA_2017-02-07-m0.u19	ВІЛКУЛ О.Ю.	#ОлександрЮрійовичВілкул.1974	Будь ласка, від "Опозиційного блоку" – народний депутат [Вілкул](ParlaMint-UA_2017-02-07-m0.u18.p2.s1.w12). 
ParlaMint-UA_2017-02-07-m0.u23	СОБОЛЄВ Є.В.	#ЄгорВікторовичСоболєв.1977	Передає слово [Єгору](ParlaMint-UA_2017-02-07-m0.u22.p2.s2.w3) [Соболєву](ParlaMint-UA_2017-02-07-m0.u22.p2.s2.w4), будь ласка. 
ParlaMint-UA_2017-02-07-m0.u25	БУРБАК М.Ю.	#МаксимЮрійовичБурбак.1976	Від "Народного фронту" Федорук Микола Трохимович передає слово [Максиму](ParlaMint-UA_2017-02-07-m0.u24.p1.s1.w11) [Бурбаку](ParlaMint-UA_2017-02-07-m0.u24.p1.s1.w12). 
ParlaMint-UA_2017-02-07-m0.u29	ГОНЧАРЕНКО О.О.	#ОлексійОлексійовичГончаренко.1980	Бублик Юрій Васильович передає слово [Олексію](ParlaMint-UA_2017-02-07-m0.u28.p2.s1.w6) [Гончаренкові](ParlaMint-UA_2017-02-07-m0.u28.p2.s1.w7) від "Блоку Петра Порошенка". 
ParlaMint-UA_2017-02-07-m0.u29	ГОНЧАРЕНКО О.О.	#ОлексійОлексійовичГончаренко.1980	Бублик Юрій Васильович передає слово [Олексію](ParlaMint-UA_2017-02-07-m0.u28.p2.s1.w6) [Гончаренкові](ParlaMint-UA_2017-02-07-m0.u28.p2.s1.w7) від "Блоку Петра Порошенка". 
ParlaMint-UA_2017-02-07-m0.u37	БАБАК А.В.	#АльонаВалеріївнаБабак.1969	[Бабак](ParlaMint-UA_2017-02-07-m0.u36.p5.s1.w1) [Альона](ParlaMint-UA_2017-02-07-m0.u36.p5.s1.w2) [Валеріївна](ParlaMint-UA_2017-02-07-m0.u36.p5.s1.w3), будь ласка. 
ParlaMint-UA_2017-02-07-m0.u40	БУРБАК М.Ю.	#МаксимЮрійовичБурбак.1976	Від "Народного фронту" [Бурбак](ParlaMint-UA_2017-02-07-m0.u39.p2.s1.w6) [Максим](ParlaMint-UA_2017-02-07-m0.u39.p2.s1.w7) Юрійович. 
ParlaMint-UA_2017-02-07-m0.u40	БУРБАК М.Ю.	#МаксимЮрійовичБурбак.1976	Від "Народного фронту" [Бурбак](ParlaMint-UA_2017-02-07-m0.u39.p2.s1.w6) Максим [Юрійович](ParlaMint-UA_2017-02-07-m0.u39.p2.s1.w8). 
ParlaMint-UA_2017-02-07-m0.u42	МАТВІЄНКОВ С.А.	#СергійАнатолійовичМатвієнков.1957	[Матвієнков](ParlaMint-UA_2017-02-07-m0.u41.p2.s1.w1) [Сергій](ParlaMint-UA_2017-02-07-m0.u41.p2.s1.w2) Анатолійович, "Опозиційний блок". 
ParlaMint-UA_2017-02-07-m0.u42	МАТВІЄНКОВ С.А.	#СергійАнатолійовичМатвієнков.1957	[Матвієнков](ParlaMint-UA_2017-02-07-m0.u41.p2.s1.w1) Сергій [Анатолійович](ParlaMint-UA_2017-02-07-m0.u41.p2.s1.w3), "Опозиційний блок". 
ParlaMint-UA_2017-02-07-m0.u44	СОБОЛЄВ С.В.	#СергійВладиславовичСоболєв.1961	Від "Батьківщини" – [Сергій](ParlaMint-UA_2017-02-07-m0.u43.p1.s1.w6) [Соболєв](ParlaMint-UA_2017-02-07-m0.u43.p1.s1.w7). 
ParlaMint-UA_2017-02-07-m0.u46	ЛЯШКО О.В.	#ОлегВалерійовичЛяшко.1972	Одна хвилина ще Радикальна партія, [Ляшко](ParlaMint-UA_2017-02-07-m0.u45.p3.s1.w7) і переходимо до голосування. 
ParlaMint-UA_2017-02-07-m0.u48	ЛИТВИН В.М.	#ВолодимирМихайловичЛитвин.1956	Прошу голів фракцій максимально запросити, поки депутати заходять в зал, від "Волі народу" ще не було виступу, я даю [Володимиру](ParlaMint-UA_2017-02-07-m0.u47.p11.s2.w25) [Литвину](ParlaMint-UA_2017-02-07-m0.u47.p11.s2.w26), прошу одна хвилина, Володимир Литвин. 
ParlaMint-UA_2017-02-07-m0.u48	ЛИТВИН В.М.	#ВолодимирМихайловичЛитвин.1956	Прошу голів фракцій максимально запросити, поки депутати заходять в зал, від "Волі народу" ще не було виступу, я даю Володимиру Литвину, прошу одна хвилина, [Володимир](ParlaMint-UA_2017-02-07-m0.u47.p11.s2.w32) [Литвин](ParlaMint-UA_2017-02-07-m0.u47.p11.s2.w33). 
ParlaMint-UA_2017-02-07-m0.u50	ГЕРАСИМОВ А.В.	#АртурВолодимировичГерасимов.1972	І я запрошую до доповіді Представника Президента України у Верховній Раді [Герасимова](ParlaMint-UA_2017-02-07-m0.u49.p19.s1.w12) [Артура](ParlaMint-UA_2017-02-07-m0.u49.p19.s1.w13) Володимировича. 
ParlaMint-UA_2017-02-07-m0.u50	ГЕРАСИМОВ А.В.	#АртурВолодимировичГерасимов.1972	І я запрошую до доповіді Представника Президента України у Верховній Раді [Герасимова](ParlaMint-UA_2017-02-07-m0.u49.p19.s1.w12) Артура [Володимировича](ParlaMint-UA_2017-02-07-m0.u49.p19.s1.w14). 
ParlaMint-UA_2017-02-07-m0.u52	РИБАК І.П.	#ІванПетровичРибак.1978	[Рибак](ParlaMint-UA_2017-02-07-m0.u51.p3.s1.w1). 
ParlaMint-UA_2017-02-07-m0.u55	РЯБЧИН О.М.	#ОлексійМихайловичРябчин.1983	Шановний пане Голово, я прошу включити мікрофон на всі три запитання від фракції "Батьківщина" колезі [Рябчину](ParlaMint-UA_2017-02-07-m0.u54.p1.s1.w19). 
ParlaMint-UA_2017-02-07-m0.u58	КРУЛЬКО І.І.	#ІванІвановичКрулько.1981	І останнє запитання – [Крулько](ParlaMint-UA_2017-02-07-m0.u57.p2.s1.w5). 
ParlaMint-UA_2017-02-07-m0.u61	ЄДНАК О.В.	#ОстапВолодимировичЄднак.1980	І я запрошую до співдоповіді секретаря Комітету з питань екологічної політики, природокористування та ліквідації наслідків Чорнобильської катастрофи [Єднака](ParlaMint-UA_2017-02-07-m0.u60.p2.s1.w19) [Остапа](ParlaMint-UA_2017-02-07-m0.u60.p2.s1.w20) Володимировича. 
ParlaMint-UA_2017-02-07-m0.u61	ЄДНАК О.В.	#ОстапВолодимировичЄднак.1980	І я запрошую до співдоповіді секретаря Комітету з питань екологічної політики, природокористування та ліквідації наслідків Чорнобильської катастрофи [Єднака](ParlaMint-UA_2017-02-07-m0.u60.p2.s1.w19) Остапа [Володимировича](ParlaMint-UA_2017-02-07-m0.u60.p2.s1.w21). 
ParlaMint-UA_2017-02-07-m0.u67	ГОПКО Г.М.	#ГаннаМиколаївнаГопко.1982	Будь ласка, [Ганна](ParlaMint-UA_2017-02-07-m0.u66.p2.s1.w4) [Гопко](ParlaMint-UA_2017-02-07-m0.u66.p2.s1.w5). 
ParlaMint-UA_2017-02-07-m0.u70	КІРАЛЬ С.І.	#СергійІвановичКіраль.1975	Будь ласка, [Кіраль](ParlaMint-UA_2017-02-07-m0.u69.p2.s1.w4) [Сергій](ParlaMint-UA_2017-02-07-m0.u69.p2.s1.w5) Іванович. 
ParlaMint-UA_2017-02-07-m0.u70	КІРАЛЬ С.І.	#СергійІвановичКіраль.1975	Будь ласка, [Кіраль](ParlaMint-UA_2017-02-07-m0.u69.p2.s1.w4) Сергій [Іванович](ParlaMint-UA_2017-02-07-m0.u69.p2.s1.w6). 
ParlaMint-UA_2017-02-07-m0.u73	ЮРИНЕЦЬ О.В.	#ОксанаВасилівнаЮринець.1978	Шановні колеги, зараз останнє ще запитання [Оксани](ParlaMint-UA_2017-02-07-m0.u72.p2.s1.w8) [Юринець](ParlaMint-UA_2017-02-07-m0.u72.p2.s1.w9). 
ParlaMint-UA_2017-02-07-m0.u73	ЮРИНЕЦЬ О.В.	#ОксанаВасилівнаЮринець.1978	Будь ласка, [Юринець](ParlaMint-UA_2017-02-07-m0.u72.p4.s1.w4) включіть мікрофон. 
ParlaMint-UA_2017-02-07-m0.u75	ДЗЮБЛИК П.В.	#ПавлоВолодимировичДзюблик.1979	І я запрошую для доповіді голову підкомітету Комітету з питань екологічної політики [Дзюблика](ParlaMint-UA_2017-02-07-m0.u74.p9.s4.w13) [Павла](ParlaMint-UA_2017-02-07-m0.u74.p9.s4.w14) Володимировича. 
ParlaMint-UA_2017-02-07-m0.u75	ДЗЮБЛИК П.В.	#ПавлоВолодимировичДзюблик.1979	І я запрошую для доповіді голову підкомітету Комітету з питань екологічної політики [Дзюблика](ParlaMint-UA_2017-02-07-m0.u74.p9.s4.w13) Павла [Володимировича](ParlaMint-UA_2017-02-07-m0.u74.p9.s4.w15). 
ParlaMint-UA_2017-02-07-m0.u77	ЛЕВЧЕНКО Ю.В.	#ЮрійВолодимировичЛевченко.1984	8-а, [Левченко](ParlaMint-UA_2017-02-07-m0.u76.p6.s1.w3). 
ParlaMint-UA_2017-02-07-m0.u77	ЛЕВЧЕНКО Ю.В.	#ЮрійВолодимировичЛевченко.1984	Будь ласка, [Левченку](ParlaMint-UA_2017-02-07-m0.u76.p6.s3.w4) включіть мікрофон. 
ParlaMint-UA_2017-02-07-m0.u79	РИБАК І.П.	#ІванПетровичРибак.1978	І я запрошую до доповіді голову підкомітету Комітету з питань екологічної політики [Рибака](ParlaMint-UA_2017-02-07-m0.u78.p18.s1.w13) [Івана](ParlaMint-UA_2017-02-07-m0.u78.p18.s1.w14) Петровича. 
ParlaMint-UA_2017-02-07-m0.u79	РИБАК І.П.	#ІванПетровичРибак.1978	І я запрошую до доповіді голову підкомітету Комітету з питань екологічної політики [Рибака](ParlaMint-UA_2017-02-07-m0.u78.p18.s1.w13) Івана [Петровича](ParlaMint-UA_2017-02-07-m0.u78.p18.s1.w15). 
ParlaMint-UA_2017-02-07-m0.u81	ЛЕВЧЕНКО Ю.В.	#ЮрійВолодимировичЛевченко.1984	3-тя, [Левченко](ParlaMint-UA_2017-02-07-m0.u80.p5.s1.w3). 
ParlaMint-UA_2017-02-07-m0.u85	ЛЕВЧЕНКО Ю.В.	#ЮрійВолодимировичЛевченко.1984	Я ставлю на голосування поправку номер 3 народного депутата [Левченка](ParlaMint-UA_2017-02-07-m0.u84.p2.s2.w10). 
ParlaMint-UA_2017-02-07-m0.u85	ЛЕВЧЕНКО Ю.В.	#ЮрійВолодимировичЛевченко.1984	5-а, [Левченко](ParlaMint-UA_2017-02-07-m0.u84.p6.s1.w4). 
ParlaMint-UA_2017-02-07-m0.u85	ЛЕВЧЕНКО Ю.В.	#ЮрійВолодимировичЛевченко.1984	Наполягає? 5-а, наполягає [Левченко](ParlaMint-UA_2017-02-07-m0.u84.p6.s3.w8). 
ParlaMint-UA_2017-02-07-m0.u89	ПИНЗЕНИК П.В.	#ПавлоВасильовичПинзеник.1976	Я бачу ще [Павло](ParlaMint-UA_2017-02-07-m0.u88.p10.s2.w4) [Пинзеник](ParlaMint-UA_2017-02-07-m0.u88.p10.s2.w5), по якій поправці? 
ParlaMint-UA_2017-02-07-m0.u89	ПИНЗЕНИК П.В.	#ПавлоВасильовичПинзеник.1976	[Павло](ParlaMint-UA_2017-02-07-m0.u88.p10.s4.w1) [Пинзеник](ParlaMint-UA_2017-02-07-m0.u88.p10.s4.w2). 
ParlaMint-UA_2017-02-07-m0.u93	РИБАК І.П.	#ІванПетровичРибак.1978	Я прошу усіх народних депутатів зайти в зал, прошу голів фракцій запросити депутатів в зал. Зараз 1 хвилина ще [Рибаку](ParlaMint-UA_2017-02-07-m0.u92.p11.s2.w22) [Івану](ParlaMint-UA_2017-02-07-m0.u92.p11.s2.w23) Петровичу, щоб він сформулював чітко, яка буде редакція для голосування. 
ParlaMint-UA_2017-02-07-m0.u93	РИБАК І.П.	#ІванПетровичРибак.1978	Я прошу усіх народних депутатів зайти в зал, прошу голів фракцій запросити депутатів в зал. Зараз 1 хвилина ще [Рибаку](ParlaMint-UA_2017-02-07-m0.u92.p11.s2.w22) Івану [Петровичу](ParlaMint-UA_2017-02-07-m0.u92.p11.s2.w24), щоб він сформулював чітко, яка буде редакція для голосування. 
ParlaMint-UA_2017-02-07-m0.u96	ДЗЮБЛИК П.В.	#ПавлоВолодимировичДзюблик.1979	І я запрошую до доповіді голову підкомітету Комітету з питань екологічної політики, природокористування та ліквідації наслідків Чорнобильської катастрофи [Дзюблика](ParlaMint-UA_2017-02-07-m0.u95.p5.s2.w20) [Павла](ParlaMint-UA_2017-02-07-m0.u95.p5.s2.w21) Володимировича. 
ParlaMint-UA_2017-02-07-m0.u96	ДЗЮБЛИК П.В.	#ПавлоВолодимировичДзюблик.1979	І я запрошую до доповіді голову підкомітету Комітету з питань екологічної політики, природокористування та ліквідації наслідків Чорнобильської катастрофи [Дзюблика](ParlaMint-UA_2017-02-07-m0.u95.p5.s2.w20) Павла [Володимировича](ParlaMint-UA_2017-02-07-m0.u95.p5.s2.w22). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	2-а, народного депутата [Кривенка](ParlaMint-UA_2017-02-07-m0.u100.p4.s1.w7). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	[Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p16.s1.w1), 18 поправка. 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	24-а, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p18.s1.w4). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	54-а, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p36.s1.w4). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	65-а, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p44.s1.w5). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	92-а, народний депутат [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p64.s1.w7). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	95-а, народний депутат [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p65.s1.w7). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	98-а, народного депутата [Кривенка](ParlaMint-UA_2017-02-07-m0.u100.p67.s1.w7). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	102-а, народного депутата [Кривенка](ParlaMint-UA_2017-02-07-m0.u100.p69.s1.w7). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	111-а, [Кривенка](ParlaMint-UA_2017-02-07-m0.u100.p77.s1.w4), народного депутата. 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	142-а, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p95.s1.w4). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	143-я, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p96.s1.w3). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	145-а, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p99.s1.w4). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	146-а, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p100.s1.w4). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	147-а, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p101.s1.w4). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	154-а, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p105.s1.w4). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	160-а, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p110.s1.w4). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	166-а, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p115.s1.w5). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	168-а, народні депутати [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p117.s1.w7) і Соболєв. 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	183-я, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p128.s1.w3) і Соболєв. 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	201-а, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p142.s1.w4). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	216-а, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p152.s1.w5). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	217-а, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p153.s1.w4). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	244-а, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p168.s1.w4). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	255-а, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p174.s1.w4), Соболєв. 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	256-а, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p175.s1.w4), Соболєв. 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	271-а, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p184.s1.w4), Соболєв. 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	290-а, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p194.s1.w4), Соболєв. 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	291-а, вибачте, 290-а, [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p195.s1.w9), Соболєв. 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	Sorry, шановні колеги, народний депутат [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p196.s3.w8) 290-а, наполягає. 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	Увімкніть, будь ласка, мікрофон народному депутату [Кривенку](ParlaMint-UA_2017-02-07-m0.u100.p197.s1.w9). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	Зараз шановні колеги, народний депутат [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p198.s1.w7) готується до наполягання. 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	309-а, народний депутат [Кривенко](ParlaMint-UA_2017-02-07-m0.u100.p209.s1.w7). 
ParlaMint-UA_2017-02-07-m0.u101	КРИВЕНКО В.М.	#ВікторМиколайовичКривенко.1982	Будь ласка, ввімкніть мікрофон народному депутату [Кривенку](ParlaMint-UA_2017-02-07-m0.u100.p210.s1.w8). 
ParlaMint-UA_2017-02-07-m0.u103	ЄВТУШОК С.М.	#СергійМиколайовичЄвтушок.1973	Будь ласка, народний депутат [Євтушок](ParlaMint-UA_2017-02-07-m0.u102.p57.s5.w6), прошу. 
ParlaMint-UA_2017-02-07-m0.u105	РОЗЕНБЛАТ Б.С.	#БориславСоломоновичРозенблат.1969	Будь ласка, [Розенблат](ParlaMint-UA_2017-02-07-m0.u104.p2.s1.w4), народний депутат, ми почули і якщо буде на доопрацювання цей законопроект ви зможете внести пропозиції в комітет. 
ParlaMint-UA_2017-02-07-m0.u109	КУЖЕЛЬ О.В.	#ОлександраВолодимирівнаКужель.1953	Зараз 30 секунд від вашої фракції [Кужель](ParlaMint-UA_2017-02-07-m0.u108.p2.s2.w7). 
ParlaMint-UA_2017-02-07-m0.u111	КІРАЛЬ С.І.	#СергійІвановичКіраль.1975	Останній – пан [Кіраль](ParlaMint-UA_2017-02-07-m0.u110.p2.s1.w4), будь ласка, 30 секунд. 
ParlaMint-UA_2017-02-07-m0.u111	КІРАЛЬ С.І.	#СергійІвановичКіраль.1975	Будь ласка, пане [Кіраль](ParlaMint-UA_2017-02-07-m0.u110.p4.s1.w5). 
ParlaMint-UA_2017-02-07-m0.u113	ЄДНАК О.В.	#ОстапВолодимировичЄднак.1980	І я запрошую до доповіді секретаря Комітету з питань екологічної політики [Єднака](ParlaMint-UA_2017-02-07-m0.u112.p20.s1.w12) [Остапа](ParlaMint-UA_2017-02-07-m0.u112.p20.s1.w13) Володимировича. 
ParlaMint-UA_2017-02-07-m0.u113	ЄДНАК О.В.	#ОстапВолодимировичЄднак.1980	І я запрошую до доповіді секретаря Комітету з питань екологічної політики [Єднака](ParlaMint-UA_2017-02-07-m0.u112.p20.s1.w12) Остапа [Володимировича](ParlaMint-UA_2017-02-07-m0.u112.p20.s1.w14). 
ParlaMint-UA_2017-02-07-m0.u115	ІВЧЕНКО В.Є.	#ВадимЄвгеновичІвченко.1980	Отже, 1 правка, народний депутат [Івченко](ParlaMint-UA_2017-02-07-m0.u114.p3.s1.w8). 
ParlaMint-UA_2017-02-07-m0.u115	ІВЧЕНКО В.Є.	#ВадимЄвгеновичІвченко.1980	3-я, [Івченко](ParlaMint-UA_2017-02-07-m0.u114.p4.s1.w3). 
ParlaMint-UA_2017-02-07-m0.u115	ІВЧЕНКО В.Є.	#ВадимЄвгеновичІвченко.1980	Будь ласка, включіть мікрофон [Івченкові](ParlaMint-UA_2017-02-07-m0.u114.p5.s1.w6). 
ParlaMint-UA_2017-02-07-m0.u119	СЕМЕРАК О.М.	#ОстапМихайловичСемерак.1972	Будь ласка, [Остап](ParlaMint-UA_2017-02-07-m0.u118.p5.s4.w4) [Семерак](ParlaMint-UA_2017-02-07-m0.u118.p5.s4.w5), включіть мікрофон. 
ParlaMint-UA_2017-02-07-m0.u123	ДЗЮБЛИК П.В.	#ПавлоВолодимировичДзюблик.1979	І я запрошую до доповіді голову підкомітету [Дзюблика](ParlaMint-UA_2017-02-07-m0.u122.p13.s1.w8) Павла [Володимировича](ParlaMint-UA_2017-02-07-m0.u122.p13.s1.w10), будь ласка. 
ParlaMint-UA_2017-02-07-m0.u129	ГОПКО Г.М.	#ГаннаМиколаївнаГопко.1982	І я запрошую до виступу, три хвилини, [Ганну](ParlaMint-UA_2017-02-07-m0.u128.p23.s3.w10) [Гопко](ParlaMint-UA_2017-02-07-m0.u128.p23.s3.w11). 
ParlaMint-UA_2017-02-07-m0.u133	ЄДНАК О.В.	#ОстапВолодимировичЄднак.1980	Я запрошую до доповіді секретаря Комітету з питань екологічної політики, природокористування та ліквідації наслідків Чорнобильської катастрофи [Єднака](ParlaMint-UA_2017-02-07-m0.u132.p3.s1.w18) [Остапа](ParlaMint-UA_2017-02-07-m0.u132.p3.s1.w19) Володимировича. 
ParlaMint-UA_2017-02-07-m0.u133	ЄДНАК О.В.	#ОстапВолодимировичЄднак.1980	Я запрошую до доповіді секретаря Комітету з питань екологічної політики, природокористування та ліквідації наслідків Чорнобильської катастрофи [Єднака](ParlaMint-UA_2017-02-07-m0.u132.p3.s1.w18) Остапа [Володимировича](ParlaMint-UA_2017-02-07-m0.u132.p3.s1.w20). 
ParlaMint-UA_2017-02-07-m0.u135	КУЛІНІЧ О.І.	#ОлегІвановичКулініч.1966	23-тя, [Кулініч](ParlaMint-UA_2017-02-07-m0.u134.p9.s1.w3). 
ParlaMint-UA_2017-02-07-m0.u135	КУЛІНІЧ О.І.	#ОлегІвановичКулініч.1966	Будь ласка, [Кулініч](ParlaMint-UA_2017-02-07-m0.u134.p10.s1.w4). 
ParlaMint-UA_2017-02-07-m0.u139	КУЛІНІЧ О.І.	#ОлегІвановичКулініч.1966	Я ставлю на голосування поправку 23 народного депутата [Кулініча](ParlaMint-UA_2017-02-07-m0.u138.p2.s2.w9). 
ParlaMint-UA_2017-02-07-m0.u139	КУЛІНІЧ О.І.	#ОлегІвановичКулініч.1966	29-а, [Кулініч](ParlaMint-UA_2017-02-07-m0.u138.p7.s1.w4). 
ParlaMint-UA_2017-02-07-m0.u143	КУЛІНІЧ О.І.	#ОлегІвановичКулініч.1966	Отже, я ставлю на голосування поправку номер 29 народного депутата [Кулініча](ParlaMint-UA_2017-02-07-m0.u142.p3.s1.w12). 
ParlaMint-UA_2017-02-07-m0.u143	КУЛІНІЧ О.І.	#ОлегІвановичКулініч.1966	[Кулініч](ParlaMint-UA_2017-02-07-m0.u142.p8.s2.w1). 
ParlaMint-UA_2017-02-07-m1.u2	ДАНЧЕНКО О.І.	#ОлександрІвановичДанченко.1974	І я запрошую до доповіді голову Комітету з питань інформатизації та зв'язку [Данченка](ParlaMint-UA_2017-02-07-m1.u1.p7.s1.w13) [Олександра](ParlaMint-UA_2017-02-07-m1.u1.p7.s1.w14) Івановича. 
ParlaMint-UA_2017-02-07-m1.u2	ДАНЧЕНКО О.І.	#ОлександрІвановичДанченко.1974	І я запрошую до доповіді голову Комітету з питань інформатизації та зв'язку [Данченка](ParlaMint-UA_2017-02-07-m1.u1.p7.s1.w13) Олександра [Івановича](ParlaMint-UA_2017-02-07-m1.u1.p7.s1.w15). 
ParlaMint-UA_2017-02-07-m1.u6	МУШАК О.П.	#ОлексійПетровичМушак.1982	14-а, [Мушак](ParlaMint-UA_2017-02-07-m1.u5.p6.s1.w4). 
ParlaMint-UA_2017-02-07-m1.u6	МУШАК О.П.	#ОлексійПетровичМушак.1982	18-а, [Мушак](ParlaMint-UA_2017-02-07-m1.u5.p8.s1.w4). 
ParlaMint-UA_2017-02-07-m1.u6	МУШАК О.П.	#ОлексійПетровичМушак.1982	20-а, [Мушак](ParlaMint-UA_2017-02-07-m1.u5.p9.s1.w4). 
ParlaMint-UA_2017-02-07-m1.u6	МУШАК О.П.	#ОлексійПетровичМушак.1982	22-а, [Мушак](ParlaMint-UA_2017-02-07-m1.u5.p10.s1.w4). 
ParlaMint-UA_2017-02-07-m1.u6	МУШАК О.П.	#ОлексійПетровичМушак.1982	23-я, [Мушак](ParlaMint-UA_2017-02-07-m1.u5.p11.s1.w3). 
ParlaMint-UA_2017-02-07-m1.u6	МУШАК О.П.	#ОлексійПетровичМушак.1982	28-а, [Мушак](ParlaMint-UA_2017-02-07-m1.u5.p12.s1.w4). 
